Tematica,Candidato,Propuesta
"Cultura / Patrimonio","Evelyn Matthei","Plantea protección patrimonial, apoyo a espacios culturales y eficiencia en la asignación de fondos."

"Salud Mental","Jeannette Jara","Propone fortalecer atención pública de salud mental, ampliar equipos comunitarios y aumentar presupuesto."
"Salud Mental","José Antonio Kast","Busca fortalecer redes comunitarias, apoyo familiar y colaboración con el sector privado en terapias."
"Salud Mental","Johannes Kaiser","Reduce rol estatal en salud mental, promoviendo oferta privada y libertad de elección."
"Salud Mental","Evelyn Matthei","Propone mejorar acceso a servicios, digitalizar atención y ampliar programas de prevención."

"Justicia / Reformas Judiciales","Jeannette Jara","Busca equilibrar garantías y seguridad, fortaleciendo defensoría, fiscalía y acceso a justicia."
"Justicia / Reformas Judiciales","José Antonio Kast","Propone endurecer penas, limitar beneficios y acelerar procesos judiciales."
"Justicia / Reformas Judiciales","Johannes Kaiser","Promueve reformas para juicios rápidos, penas más duras y reducción de beneficios penitenciarios."
"Justicia / Reformas Judiciales","Evelyn Matthei","Busca modernizar tribunales, reducir tiempos procesales y mejorar coordinación institucional."

"Economía Digital / Competencia","Jeannette Jara","Propone regulación de plataformas digitales, protección de datos y desarrollo de soberanía tecnológica pública."
"Economía Digital / Competencia","José Antonio Kast","Promueve libre competencia digital, incentivo al emprendimiento tecnológico y menos burocracia."
"Economía Digital / Competencia","Johannes Kaiser","Propone mínima regulación en servicios digitales para permitir competencia absoluta y rápida innovación."
"Economía Digital / Competencia","Evelyn Matthei","Busca modernizar normativas para economía digital, promover seguridad cibernética y proteger consumidores."

"Transporte / Infraestructura","Jeannette Jara","Propone inversión estatal en transporte público, conectividad rural y obras públicas que integren territorios."
"Transporte / Infraestructura","José Antonio Kast","Promueve infraestructura concesionada, carreteras privadas y modelos de inversión acelerados."
"Transporte / Infraestructura","Johannes Kaiser","Plantea reducir inversión estatal en infraestructura y dejar el desarrollo vial principalmente al mercado."
"Transporte / Infraestructura","Evelyn Matthei","Busca modernizar transporte con proyectos multimodales, mejor gestión de concesiones y movilidad sostenible."

"Agricultura / Desarrollo Rural","Jeannette Jara","Propone apoyo estatal a agricultura familiar, manejo sostenible del agua y fortalecimiento de zonas rurales."
"Agricultura / Desarrollo Rural","José Antonio Kast","Favorece inversión agrícola de gran escala, seguridad hídrica y apertura comercial para exportadores."
"Agricultura / Desarrollo Rural","Johannes Kaiser","Propone eliminar subsidios y regulaciones agrícolas, dejando el desarrollo rural al libre mercado."
"Agricultura / Desarrollo Rural","Evelyn Matthei","Busca modernizar el riego, digitalizar el sector agrícola y apoyar innovación rural con alianzas público-privadas."
